제목,신문사,바로가기
모바일 액션RPG '비주얼스쿼드' 사전예약 시작,포모스,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=236&aid=0000204188
"'서든어택', 서든패스 2020 시즌3 호크 호크 업데이트 진행",포모스,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=236&aid=0000204187
"ADT캡스, 정보보호 관리체계(ISMS) 인증 획득",디지털데일리,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=138&aid=0002088465
"오라클 ""온프레미스도 퍼블릭 클라우드급 서비스""",동아일보,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=020&aid=0003296844
"UNIST-LG전자, 산학협력 강화 협약 체결…5개 분야 공동 연구",연합뉴스,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=001&aid=0011735931
"경기도시각장애인복지관, ‘구글 미트’ 도입해 사회취약계층 취업 지원",디지털데일리,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=138&aid=0002088464
"음저협, 13개 OTT와 저작권료 협상···5곳은 결렬",전자신문,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=030&aid=0002892636
기지국이 지진관측소가 된다고요?,블로터,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=293&aid=0000029536
"[이슈분석]초반부터 30% 수수료 뗀 게임, 파이를 어떻게 키웠나",전자신문,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=030&aid=0002892635
"[이슈분석]구글 인앱결제 강제 파장, 공정위 들여다볼까?",전자신문,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=030&aid=0002892634
[ICT 시사용어]접시 없는 위성방송(DCS),전자신문,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=030&aid=0002892633
"시스코, 클라우드 기반 사이버보안 플랫폼 ‘시큐어엑스’ 출시",디지털데일리,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=138&aid=0002088463
"뉴타닉스, 클라우드 인프라 관리용 원격 IT 기능 발표",디지털데일리,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=138&aid=0002088462
[이슈분석]국내 앱 마켓 수수료 적용 현황은,전자신문,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=030&aid=0002892632
문제 조항 그대로 다시 발의된 '전기발전기본법'...논란 재연 불가피,전자신문,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=030&aid=0002892631
"정부, 데이터기반 행정 활성화한다…공공솔루션 위크 2주차 성료",전자신문,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=030&aid=0002892629
코로나19 치료제·백신 개발에 1115억원 추가 투입,동아사이언스,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=584&aid=0000009490
한층 진화한 삼성전자 '스마트싱스 에너지',한국일보,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=469&aid=0000514181
AI·핵심인재 10만명 양성··· 디지털 대전환 대비한다,디지털데일리,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=138&aid=0002088461
전량 수입 의존 선박용 레이더 국산화 개발 착수,연합뉴스,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=001&aid=0011735923
UNIST-LG전자 협력 강화.. 동반성장,아시아경제,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=277&aid=0004715333
"라그나로크 오리진, 에이크라운 코스프레 공개",포모스,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=236&aid=0000204183
구현모의 `VR 테마파크`…벤처 100곳 뛰논다,매일경제,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=009&aid=0004612257
전국 SKT 기지국 3000여 곳 `지진 감지 안전타워`로 변신,매일경제,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=009&aid=0004612256
"[#Let`s 스타트업] 안가본길, ""인테리어 어디 맡기지?"" 소비자 고민 끝",매일경제,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=009&aid=0004612255
"LG ‘실속폰’ Q시리즈, 해외서도 통했다",경향신문,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=032&aid=0003019774
'카스온라인' 신규 에픽 무기 '보이드 어벤저' 추가,포모스,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=236&aid=0000204182
모바일 RPG '블리치 브레이브 소울' 아시아 지역 출시,포모스,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=236&aid=0000204181
"마영전, 행동하는 기사 영웅 '카엘' 등장",포모스,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=236&aid=0000204180
온라인 액션 RPG '드래곤네스트' 신규 의뢰 3종 더해,포모스,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=236&aid=0000204179
"모바일 MMORPG '에오스 레드', 혼돈의 탑 2층 오픈",포모스,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=236&aid=0000204178
"A3, 점령 길드 전용 '장비 던전' 추가",포모스,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=236&aid=0000204177
'테라 클래식' 신규 던전 '비경' 선봬,포모스,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=236&aid=0000204176
"모바일 MMORPG '용의기원', 신규 외형 '마법서' 시스템 추가",포모스,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=236&aid=0000204175
"주니퍼 네트웍스, 가트너 MQ 데이터센터·클라우드 네트워킹 부문 리더 선정",디지털데일리,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=138&aid=0002088460
"LG, 실속폰 `K시리즈`로 글로벌 공략",매일경제,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=009&aid=0004612254
"네이버, 'NF보험서비스' 법인 설립…보험시장에도 진출",뉴시스,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=003&aid=0009959671
'블리치 브레이브 소울' 정식 서비스 시작…풍성한 이벤트까지,엑스포츠뉴스,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=311&aid=0001173288
"뮤 아크엔젤, 통합 서버 전장 '크리소스 월드전장' 공개",포모스,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=236&aid=0000204174
"U+골프, ‘아이에스동서 부산오픈’ 인기선수 전체경기 독점중계",디지털데일리,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=138&aid=0002088459
포털 강자 ‘네이버’vs메신저 1인자 ‘카카오’... 주력분야 살펴보니,디지털데일리,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=138&aid=0002088458
"블루포션게임즈, 에오스레드 '혼돈의탑 2층' 업데이트",ZDNet Korea,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=092&aid=0002193464
"갤노트20 울트라 실물 등장…""카메라 커지고 S펜은 포인터""",아시아경제,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=277&aid=0004715328
"""H.265 대비 50% 효율 향상"" 차세대 코덱 H.266 공개",ZDNet Korea,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=092&aid=0002193463
"중부발전, 독거노인·장애인 가구에 냉방용품 전달",ZDNet Korea,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=092&aid=0002193462
